8.68	26.62	2.19	5.01	4.44	12.07	0.31	6.29	19.52	0.2	0.06	0.1	31
10.45	41.47	4.1	11.13	9.34	14.62	0.47	9.94	28.24	0.21	0.09	0.1	39
14.48	35.5	5.28	12.77	11.09	12.61	0.5	9.81	24.28	0.19	0.07	0.1	42
16.73	40.15	6.61	16.05	14	19.69	0.44	9.02	20.11	0.11	0.07	0.13	47
18.72	57.71	7.08	25.46	19.29	22.11	0.42	12.33	18.28	0.12	0.15	0.1	47
11.39	28.72	4.4	11.2	9.63	24.46	0.39	9.47	21.17	0.12	0.07	0.1	48
10.62	19.96	3.71	9.32	8.1	17.43	0.59	10.32	14.62	0.07	0.03	0.1	49
17.03	46.96	2.89	10.15	7.82	5.53	0.5	13.84	21.8	1.51	3.77	0.25	45
9.39	36.94	2.81	12.29	8.89	4.58	0.35	17.07	24.65	0.27	2.25	0.14	45
9.77	35.42	1.48	12.59	7.81	3.34	0.32	21.81	28.75	0.01	2.55	0.14	41
12.11	40.82	2.1	15.46	9.94	4.07	0.31	12.72	23.43	0.06	1.73	0.13	46
11.81	43.2	5	29.99	20.12	4.69	0.34	13.82	41.43	0.09	1.65	0.13	50
10.02	31.73	4.88	33.11	21.72	3.35	0.49	17.28	38.1	0.2	2.31	0.1	42
9.55	31.71	3.23	24.02	15.47	2.09	0.36	16.48	32.84	0.27	1.13	0.12	38
17.9	39.22	2.87	29.14	17.92	4.79	0.57	16.39	32.98	0.18	2.02	0.15	42
17.07	40.3	1.54	25.75	15.04	5.54	0.5	16.01	36.19	0.04	1.81	5.99	46
13.45	34.6	1	24.16	13.66	4.77	0.46	14.9	40.53	0.06	1.31	0.2	48
9.57	26.83	2.1	22	13.49	3.36	0.36	19.5	32.37	0.07	0.44	0.1	42
11.55	25.16	1.2	22.16	12.76	2.1	0.35	17	40.21	0.03	0.41	0.1	46
13.4	23.95	4.39	29.37	19.27	2.9	0.42	16.27	29.58	0.11	0.91	0.24	39
50.56	116.89	6.93	37.27	25.44	11.05	0.97	5.25	23.36	0.08	2.3	0.1	99
26.22	62.82	2.24	20.1	12.54	12.32	0.61	8.25	23.74	0.07	3.07	0.12	86
31.83	66.74	2.76	16.83	11.14	11.9	0.61	5.87	24.72	0.05	2.64	0.11	57
